epoch,train_loss,val_loss,loss,mae,rmse,r2,count_ge_0.30,mae_ge_0.30,rmse_ge_0.30,count_ge_0.40,mae_ge_0.40,rmse_ge_0.40,count_ge_0.50,mae_ge_0.50,rmse_ge_0.50,count_ge_0.60,mae_ge_0.60,rmse_ge_0.60
1,0.03793146935723988,0.0015370152255941537,0.0015370152255941537,0.03911979869008064,0.05544203472527082,-0.5731024742126465,13428,0.03911979869008064,0.05544203472527082,13428,0.03911979869008064,0.05544203472527082,13428,0.03911979869008064,0.05544203472527082,651,0.15728911757469177,0.1728454470226133
2,0.0031539381228088002,0.0009768672335970527,0.0009768672335970527,0.030025405809283257,0.044195828057003464,0.0003654956817626953,13428,0.030025405809283257,0.044195828057003464,13428,0.030025405809283257,0.044195828057003464,13428,0.030025405809283257,0.044195828057003464,651,0.13794654607772827,0.1548155384751173
3,0.0014833103373045257,0.0009334825809457384,0.0009334825809457384,0.02976984903216362,0.04320055305954915,0.04488140344619751,13428,0.02976984903216362,0.04320055305954915,13428,0.02976984903216362,0.04320055305954915,13428,0.02976984903216362,0.04320055305954915,651,0.13634803891181946,0.15262543483425373
4,0.0010704753707700763,0.0009232900778962565,0.0009232900778962565,0.029187221080064774,0.0429644054145452,0.05529475212097168,13428,0.029187221080064774,0.0429644054145452,13428,0.029187221080064774,0.0429644054145452,13428,0.029187221080064774,0.0429644054145452,651,0.1331142783164978,0.14991666371291798
5,0.000986019005947691,0.000919848208321214,0.000919848208321214,0.029029270634055138,0.042883807992908196,0.05883580446243286,13428,0.029029270634055138,0.042883807992908196,13428,0.029029270634055138,0.042883807992908196,13428,0.029029270634055138,0.042883807992908196,651,0.1331673413515091,0.15002748689538634
6,0.0009709526522783563,0.0009273757412475312,0.0009273757412475312,0.029617127031087875,0.04305951194118152,0.05110776424407959,13428,0.029617127031087875,0.04305951194118152,13428,0.029617127031087875,0.04305951194118152,13428,0.029617127031087875,0.04305951194118152,651,0.13281837105751038,0.149571946195705
7,0.0009646163966473458,0.0009261109954899266,0.0009261109954899266,0.029887352138757706,0.04303017068243808,0.05240046977996826,13428,0.029887352138757706,0.04303017068243808,13428,0.029887352138757706,0.04303017068243808,13428,0.029887352138757706,0.04303017068243808,651,0.13291044533252716,0.14959862473711222
8,0.0009551562058775397,0.0009162631871212008,0.0009162631871212008,0.029651671648025513,0.04280055244832368,0.06248664855957031,13428,0.029651671648025513,0.04280055244832368,13428,0.029651671648025513,0.04280055244832368,13428,0.029651671648025513,0.04280055244832368,651,0.13264556229114532,0.14966644214646563
9,0.0009442337173649798,0.0009268367902785983,0.0009268367902785983,0.02953709103167057,0.043047354878539126,0.0516434907913208,13428,0.02953709103167057,0.043047354878539126,13428,0.02953709103167057,0.043047354878539126,13428,0.02953709103167057,0.043047354878539126,651,0.12850719690322876,0.14585275534885248
10,0.0009360705146848757,0.0009181330895184406,0.0009181330895184406,0.02948225848376751,0.04284441770793931,0.06056404113769531,13428,0.02948225848376751,0.04284441770793931,13428,0.02948225848376751,0.04284441770793931,13428,0.02948225848376751,0.04284441770793931,651,0.13272909820079803,0.14869766900620376
11,0.0009271649653480078,0.0009158024799987851,0.0009158024799987851,0.029325762763619423,0.04279158111613703,0.06287962198257446,13428,0.029325762763619423,0.04279158111613703,13428,0.029325762763619423,0.04279158111613703,13428,0.029325762763619423,0.04279158111613703,651,0.1305294781923294,0.14694618544348922
12,0.0009260194177927804,0.0008943886382483124,0.0008943886382483124,0.02913842163980007,0.0422873326858122,0.08483529090881348,13428,0.02913842163980007,0.0422873326858122,13428,0.02913842163980007,0.0422873326858122,13428,0.02913842163980007,0.0422873326858122,651,0.12897604703903198,0.14617814798315573
13,0.000919056512724464,0.000887744846875735,0.000887744846875735,0.02895767241716385,0.042129899313023245,0.0916367769241333,13428,0.02895767241716385,0.042129899313023245,13428,0.02895767241716385,0.042129899313023245,13428,0.02895767241716385,0.042129899313023245,651,0.12690873444080353,0.14482076104448566
14,0.0009156974488827732,0.0008947898583885815,0.0008947898583885815,0.02903440222144127,0.04229455445886843,0.08452260494232178,13428,0.02903440222144127,0.04229455445886843,13428,0.02903440222144127,0.04229455445886843,13428,0.02903440222144127,0.04229455445886843,651,0.12350686639547348,0.14176754924082516
15,0.0009108779586399795,0.0008824904504719944,0.0008824904504719944,0.029010089114308357,0.04200506290168994,0.0970119833946228,13428,0.029010089114308357,0.04200506290168994,13428,0.029010089114308357,0.04200506290168994,13428,0.029010089114308357,0.04200506290168994,651,0.12489693611860275,0.14234177059384334
16,0.0009085568798625554,0.0008869508989543343,0.0008869508989543343,0.029061151668429375,0.042110313009632486,0.09248119592666626,13428,0.029061151668429375,0.042110313009632486,13428,0.029061151668429375,0.042110313009632486,13428,0.029061151668429375,0.042110313009632486,651,0.1251825988292694,0.14315541854097322
17,0.0009046539546467275,0.0008906214338605336,0.0008906214338605336,0.02945227175951004,0.04219837495590009,0.08868157863616943,13428,0.02945227175951004,0.04219837495590009,13428,0.02945227175951004,0.04219837495590009,13428,0.02945227175951004,0.04219837495590009,651,0.12343305349349976,0.14119996309175226
18,0.0009035351422512793,0.0008948470488013257,0.0008948470488013257,0.02933581732213497,0.04229875592557924,0.08434075117111206,13428,0.02933581732213497,0.04229875592557924,13428,0.02933581732213497,0.04229875592557924,13428,0.02933581732213497,0.04229875592557924,651,0.1243843287229538,0.14146770859392524
19,0.0009021864610812848,0.0009433119507905628,0.0009433119507905628,0.029693955555558205,0.04343157193929459,0.03463888168334961,13428,0.029693955555558205,0.04343157193929459,13428,0.029693955555558205,0.04343157193929459,13428,0.029693955555558205,0.04343157193929459,651,0.12338565289974213,0.1408751633544997
20,0.0009001193739615181,0.0009023268464564656,0.0009023268464564656,0.029287580400705338,0.04247506425175177,0.0766916275024414,13428,0.029287580400705338,0.04247506425175177,13428,0.029287580400705338,0.04247506425175177,13428,0.029287580400705338,0.04247506425175177,651,0.1228087916970253,0.1401631267268237
21,0.0008985290372774692,0.0009640396722326322,0.0009640396722326322,0.029550019651651382,0.043905356574556256,0.013462245464324951,13428,0.029550019651651382,0.043905356574556256,13428,0.029550019651651382,0.043905356574556256,13428,0.029550019651651382,0.043905356574556256,651,0.12544892728328705,0.14406582279262492
22,0.0008879383739050743,0.0009942711035754266,0.0009942711035754266,0.029306745156645775,0.04458935652544774,-0.01751565933227539,13428,0.029306745156645775,0.04458935652544774,13428,0.029306745156645775,0.04458935652544774,13428,0.029306745156645775,0.04458935652544774,651,0.12563490867614746,0.14486045975577796
23,0.0008809650251004357,0.0011412604608007574,0.0011412604608007574,0.02984016388654709,0.047830401821584066,-0.17081093788146973,13428,0.02984016388654709,0.047830401821584066,13428,0.02984016388654709,0.047830401821584066,13428,0.02984016388654709,0.047830401821584066,651,0.1261425018310547,0.14809124490559508
24,0.0008811946316979759,0.0013416164962109177,0.0013416164962109177,0.030032075941562653,0.053076626864310625,-0.4417346715927124,13428,0.030032075941562653,0.053076626864310625,13428,0.030032075941562653,0.053076626864310625,13428,0.030032075941562653,0.053076626864310625,651,0.12932653725147247,0.15554757180817055
25,0.0008772785945828738,0.0011537399375811219,0.0011537399375811219,0.029913727194070816,0.048091200796933097,-0.18361353874206543,13428,0.029913727194070816,0.048091200796933097,13428,0.029913727194070816,0.048091200796933097,13428,0.029913727194070816,0.048091200796933097,651,0.1238960474729538,0.14359458057632407
26,0.0008788037544512744,0.001153824331759963,0.001153824331759963,0.029542675241827965,0.048290661153852006,-0.1934521198272705,13428,0.029542675241827965,0.048290661153852006,13428,0.029542675241827965,0.048290661153852006,13428,0.029542675241827965,0.048290661153852006,651,0.12608657777309418,0.1453566245797107
27,0.0008709748528850642,0.0036380666942845675,0.0036380666942845675,0.03365321084856987,0.0976132870582195,-3.876368999481201,13428,0.03365321084856987,0.0976132870582195,13428,0.03365321084856987,0.0976132870582195,13428,0.03365321084856987,0.0976132870582195,651,0.1609514206647873,0.26329740140822794
